bioproject,name,title,description,doi,abstract
PRJNA789350,,,,,
PRJNA951790,Soybean Root Transcriptomics: Insights into Sucrose Signaling at the Crossroads of Nutrient Deficiency and Biotic Stress Responses,Soybean Root Transcriptomics: Insights into Sucrose Signaling at the Crossroads of Nutrient Deficiency and Biotic Stress Responses,"Soybean (Glycine max) is an important agricultural crop, but nutrient deficiencies frequently limit soybean production. While research has advanced our understanding of plant responses to long-term nutrient deficiencies, less is known about the signaling pathways and immediate responses to certain nutrient deficiencies, such as Pi and Fe deficiencies. Recent studies have shown that sucrose acts as a long-distance signal that is sent in increased concentrations from the shoot to the root in response to various nutrient deficiencies. Here, we mimicked nutrient deficiency-induced sucrose signaling by adding sucrose directly to the roots. To unravel transcriptomic responses to sucrose acting as a signal, we performed Illumina RNA-sequencing of soybean roots treated with sucrose for 20 min and 40 min, compared to non-sucrose-treated controls. We obtained a total of 260 million paired-end reads, mapping to 61,675 soybean genes, some of which are novel (not yet annotated) transcripts. Of these, 358 genes were upregulated after 20 min, and 2416 were upregulated after 40 min of sucrose exposure. GO (gene ontology) analysis revealed a high proportion of sucrose-induced genes involved in signal transduction, particularly hormone, ROS (reactive oxygen species), and calcium signaling, in addition to regulation of transcription. In addition, GO enrichment analysis indicates that sucrose triggers crosstalk between biotic and abiotic stress responses. Overall design: Comparative gene expression profiling analysis of RNA-seq data from soybean roots exposed to 0 (control), 20 min and 40 min of 10 mM sucrose in 3 biological replications",37299096,"Soybean (<i>Glycine max</i>) is an important agricultural crop, but nutrient deficiencies frequently limit soybean production. While research has advanced our understanding of plant responses to long-term nutrient deficiencies, less is known about the signaling pathways and immediate responses to certain nutrient deficiencies, such as P<sub>i</sub> and Fe deficiencies. Recent studies have shown that sucrose acts as a long-distance signal that is sent in increased concentrations from the shoot to the root in response to various nutrient deficiencies. Here, we mimicked nutrient deficiency-induced sucrose signaling by adding sucrose directly to the roots. To unravel transcriptomic responses to sucrose acting as a signal, we performed Illumina RNA-sequencing of soybean roots treated with sucrose for 20 min and 40 min, compared to non-sucrose-treated controls. We obtained a total of 260 million paired-end reads, mapping to 61,675 soybean genes, some of which are novel (not yet annotated) transcripts. Of these, 358 genes were upregulated after 20 min, and 2416 were upregulated after 40 min of sucrose exposure. GO (gene ontology) analysis revealed a high proportion of sucrose-induced genes involved in signal transduction, particularly hormone, ROS (reactive oxygen species), and calcium signaling, in addition to regulation of transcription. In addition, GO enrichment analysis indicates that sucrose triggers crosstalk between biotic and abiotic stress responses."
PRJNA987518,National Taiwan University,Soybean Gene Expression in Response to Rhizobacteria,Soybean Gene Expression in Response to Rhizobacteria,,
PRJNA373280,,,,,
PRJNA295299,Glycine max,degradome sequence data,"To identity the targets of miRNAs, we bundled 12 samples from different developing satages into four mixture samples. These samples were used to cosntruct degradome libraries and preform degradome sequencing on Illumina Hi-seq 2000 analyzer. More than 44.98 millions clean reads were obtained and 33.52 million reads were mapped to the soybean cDNA. The mapped reads were used to identity miRNA targets by CleaveLand4 pipeline. Overall design: 4 degradome mixed samples, no replicates, but every degradome data consists of two parts data. Please note that every degradome sample has two processed and two raw data files. To have enough data, additional sequencing was performed from each sample library. And each sample raw data was processed separately (tissue_name*degradome.txt) and also combined (all_degradome*.txt).",26714457,"Although the selection of coding genes during plant domestication has been well studied, the evolution of MIRNA genes (MIRs) and the interaction between microRNAs (miRNAs) and their targets in this process are poorly understood. Here, we present a genome-wide survey of the selection of MIRs and miRNA targets during soybean domestication and improvement. Our results suggest that, overall, MIRs have higher evolutionary rates than miRNA targets. Nonetheless, they do demonstrate certain similar evolutionary patterns during soybean domestication: MIRs and miRNA targets with high expression and duplication status, and with greater numbers of partners, exhibit lower nucleotide divergence than their counterparts without these characteristics, suggesting that expression level, duplication status, and miRNA-target interaction are essential for evolution of MIRs and miRNA targets. Further investigation revealed that miRNA-target pairs that are subjected to strong purifying selection have greater similarities than those that exhibited genetic diversity. Moreover, mediated by domestication and improvement, the similarities of a large number of miRNA-target pairs in cultivated soybean populations were increased compared to those in wild soybeans, whereas a small number of miRNA-target pairs exhibited decreased similarity, which may be associated with the adoption of particular domestication traits. Taken together, our results shed light on the co-evolution of MIRs and miRNA targets during soybean domestication."
PRJNA626031,Oil Crops Research Institute,RNAseq of Glycine max,RNA-seq,,
PRJNA819554,Glycine max,Glycine max (Linn.) Merr. Raw sequence reads,normal RNA-Seq of Glycine max (Linn.) Merr.,,
PRJNA824616,jilin normal university,Sequencing of Bacillus amyloliquefacie and Sclerotinia sclerotiorum during Sclerotinia sclerotiorum Infecting soybean seedlings,Dual RNA sequencing analysis of Bacillus amyloliquefacie and Sclerotinia sclerotiorum during Sclerotinia sclerotiorum Infecting soybean seedlings unveils Antagonistic Interactions,,
PRJNA765164,Chinese Academy of Agricultural Sciences,Soybean nodule development -RNA-Seq,"The expression of soybean and Bradyrhizobium diazoefficiens 113-2 genes in the nodule samples from five developmental stages of soybean (Branching stage, flowering stage, fruiting stage, pod stage and harvest stage)",,
PRJNA670861,GmNAC81 involved in leaf senecence and drought stress,GmNAC81 involved in leaf senecence and drought stress,"We examined the transcriptome induced by GmNAC81 overexpression and leaf senescence and showed that GmNAC81 further modulates leaf senescence by regulating an extensive repertoire of functionally characterized senescence-associated genes (SAGs). GmNAC81 overexpression also uncovered the regulation of typical drought-responsive genes. Key regulators and effectors of ABA signaling were suppressed by GmNAC81 overexpression.  Overall design: RNA was extracted from leaves collected in two developmental stages of the plant, vegetative stage three (V3; 20 days after germination, DAG) and reproductive stage six (R6; 80 DAG). Each developmental stage comprised a set of nine libraries.",33329747,"<i>Glycine max</i> NAC81 (GmNAC81) is a downstream effector of the DCD/NRP-mediated cell death signaling, which interacts with GmNAC30 to fully induce the caspase 1-like vacuolar processing enzyme (VPE) expression, the executioner of the cell death program. GmNAC81 has been previously shown to positively modulate leaf senescence via the NRP/GmNAC81/VPE signaling module. Here, we examined the transcriptome induced by <i>GmNAC81</i> overexpression and leaf senescence and showed that GmNAC81 further modulates leaf senescence by regulating an extensive repertoire of functionally characterized senescence-associated genes (SAGs). Because the NRP/GmNAC81/VPE signaling circuit also relays stress-induced cell death signals, we examined the effect of <i>GmNAC81</i> overexpression in drought responses. Enhanced <i>GmNAC81</i> expression in the transgenic lines increased sensitivity to water deprivation. Under progressive drought, the <i>GmNAC81</i>-overexpressing lines displayed severe leaf wilting, a larger and faster decline in leaf &#x3a8;w, relative water content (RWC), photosynthesis rate, stomatal conductance, and transpiration rate, in addition to higher Ci/Ca and lower Fm/Fv ratios compared to the BR16 control line. Collectively, these results indicate that the photosynthetic activity and apparatus were more affected by drought in the transgenic lines. Consistent with hypersensitivity to drought, chlorophyll loss, and lipid peroxidation were higher in the <i>GmNAC81</i>-overexpressing lines than in BR16 under dehydration. In addition to inducing VPE expression, <i>GmNAC81</i> overexpression uncovered the regulation of typical drought-responsive genes. In particular, key regulators and effectors of ABA signaling were suppressed by <i>GmNAC81</i> overexpression. These results suggest that GmNAC81 may negatively control drought tolerance not only via VPE activation but also via suppression of ABA signaling."
PRJNA389118,Glycine max,Glycine max Raw sequence reads,Transcriptome sequencing to identify differentially expressed transcripts in roots of iron deficiency chlorosis tolerant line U06-105454 and iron deficiency chlorosis sensitive line U06-625083 with low iron and alkaline treatments,,
PRJNA765378,Goucher College,Effects of pea apyrase psNTP9 expression in soybean,"Genome-wide expression profiling was used to study the effects of constitutive expression of pea apyrase psNTP9 in leaves of vegetative soybean plants (Glycine max cv. Williams 82; V5 developmental stage) grown under greenhouse conditions. In transgenic line 14A, differentially-expressed genes in enriched GO BioProcess categories suggest enhanced protein synthesis and water use efficiency phenotypes. Experimental verification of these phenotypes is under investigation.",,
PRJNA509458,Williams RNA-Seq Samples from Various Organ and Developmental Stages,Williams RNA-Seq Samples from Various Organ and Developmental Stages,"11 RNA-Seq samples from Williams (PI548631), with a variety of tissues especially immature seeds represented; 1 sample is from Williams 55, i mutation with black seed coat (PI547881) Overall design: 12 samples total, no replicates",31468028,"The structure of chalcone synthase (<i>CHS</i>) gene repeats in different alleles of the <i>I</i> (inhibitor) locus in soybean spawns endogenous RNA interference (RNAi) that leads to phenotypic change in seed coat color of this major agronomic crop. Here, we examined <i>CHS</i> gene copy number by digital PCR and single nucleotide polymorphisms (SNPs) through whole genome resequencing of 15 cultivars that varied in alleles of the <i>I</i> locus (<i>I</i>, <i>i<sup>i</sup></i> , <i>i<sup>k</sup></i> , and <i>i</i>) that control the pattern distribution of pigments in the seed coats. Lines homozygous for the <i>i<sup>i</sup></i> allele had the highest copy number followed by the <i>I</i> and <i>i<sup>k</sup></i> cultivars which were more related to each other than to the lines with <i>i<sup>i</sup></i> alleles. Some of the recessive <i>i</i> alleles were spontaneous mutations, and each revealed a loss of copy number by digital PCR relative to the parent varieties. Amplicon sequencing and whole genome resequencing determined that the breakpoints of several <i>i<sup>i</sup></i> to <i>i</i> mutations resulted from nonallelic homologous recombination (NAHR) events between <i>CHS</i> genes located in segmental duplications leading to large 138-kilobase deletions that erase the structure generating the <i>CHS</i> siRNAs along with eight other non-<i>CHS</i> genes. Functional hybrid <i>CHS</i> genes (designated <i>CHS5:1</i>) were formed in the process and represent rare examples of NAHR in higher plants that have been captured by examining spontaneous mutational events in isogenic mutant lines."
PRJNA644259,Glycine max cultivar:Tianlong 1,Glycine max dcl2 Transcriptome sRNA and WGBS,"The sRNA-seq, mRNA-seq and WGBS of soybean Tianlong 1 cultivar and Gmdcl2a/dcl2b mutant",,
PRJNA1000775,Northeast Agricultural University,RNA-Seq data of DN50 and rem1 inoculated with Rhizobium 24 hpi,RNA-Seq data of DN50 and rem1 inoculated with HH103 and NopL mutant 24 hpi,,
PRJNA339653,Glycine max,Glycine max Raw sequence reads,RNA-seq of soybean accessions,,
PRJNA719094,,,,,
PRJNA482924,University of Torino,RNAseq analysis on soybean seeds treated with GHI_16_Bex2 biostimulant under heat stress conditions,"RNAseq analysis was carried out on soybean seeds treated with GHI_16_Bex2 biostimulant under heat stress conditions, in order to get insights on the molecular events occurring during treatment. This study will be helpful to analyse potential priming effects due to the GHI_16_Bex2 biostimulant application.",,
PRJNA755792,Guangzhou University,Transcriptomic analyses of wild-type and soc1a soc1b mutant in soybean shoot apices and leaves,"Flowering time and maturity are key agronomic traits directly affecting regional adaptability and yield of soybean. SUPPRESSOR OF OVEREXPRESSION OF CO 1 (SOC1) has been proved to be an essential flowering regulator. In this study, RNA sequencing using the shoot apices and leaves of soc1a soc1b double mutant and the wild-type (W82) plants under SD conditions at 20DAE (days after emergence) was performed to explore the regulatory network of the SOC1s in soybean.",,
PRJNA369414,Glycine max,Genome-Wide Reinforcement of DNA Methylation Occurs during Somatic Embryogenesis in Soybean,"Tissue culture is a major method for plant regeneration and for production of transgenic plants. Thus far, our knowledge of the dynamic epigenomic during tissue culture is limited. In this study, we generated epigenomes from nine different stages throughout the tissue culture process and found significant genome-wide increases of DNA methylation throughout the soybean genome. This change mostly happens in CHH (H = A, T, C) context and targets transposable elements (TEs). Subsequent analyses of corresponding transcriptomes and small RNA distributions indicate that it is associated with high activity of the RNA-directed DNA methylation (RdDM) pathway. These results provide important insights into the function of a dynamic epigenome throughout tissue culture and extends our understanding of epigenome-wide reprogramming of the DNA methylome in plants. Overall design: Five samples throughout specific stages of tissue culture were analyzed in tripiicate for changes in DNA methylation, RNA expression and smalL RNA abundance",,
PRJEB20727,RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4),RNA-seq of hypoxic and normoxic soybean roots (cultivars: Embrapa 45 and BR 4),"RNA-sequencing of twelve treatments: two cultivars (Embrapa 45 and BR 4), two oxygen conditions [fully aerobic state (normoxy) and hypoxic], and three treatment sampling times (0.5h, 4h, and 28h). For each of twelve treatments, equimolar quantities of purified total RNA from roots of twelve plants [three biological replicates (four plantlets per replicate)] were pooled to result one library. After processing the twelve libraries (poly-A purification, fractionation, cDNA synthesis using random primers, and ligation to bar-coded adapters), fragments of 150–250 pb were isolated and multiplexed, resulting one sequencing library (a pooled of equimolar quantities from twelve initial libraries; each library with a specific barcode for further bioinformatic discrimination). Sequencing library was used to produce clusters for a 1 x 100 bp single end-sequencing run into one lane on a flow cell for sequencing in a Hi-Seq 2000 (Illumina).",,
PRJNA579398,Glycine max,Glycine max Transcriptome or Gene expression,To detect the gene expression of soybean,,
PRJNA781838,Nanjing Agricultural University,Soybean gene expression during Phytophthora sojae infection,"RNA-seq was performed for soybean (Williams82) tissues inoculated with P. sojae after treatment (e.g., soaking hypocotyls in culture solution of Fusarium)",,
PRJNA1033409,Jilin Agricultural University,Transcriptome data of Glycine max roots under drought stress,"Changes in gene transcription levels in soybean roots under drought stress at 0, 6, 12, 18, and 24 hours",,
PRJNA336056,Glycine max,RNA-sequencing of GmPHD6 over-expression and RNAi transgenic hairy roots and the control samples of K599,"Plant homeodomain (PHD) finger proteins are ‘histone code readers’. They recognize and bind to epigenetically modified histone H3 ‘tail’. Here we reported that an Alfin1-like soybean protein, GmPHD6, read H3K4me0/1/2 but not H3K4me3 with the N-terminal instead of the PHD finger. GmPHD6 does not possess transcriptional regulatory ability. Through the PHD finger, GmPHD6 interacts with its co-activator, LHP1-1/2. Using a transgenic hairy root system, we demonstrated that over-expression of GmPHD6 improved stress tolerance in transgenic soybean composites. Perhaps due to the excessive amount of LHP1 compared to that of GmPHD6, over-expression of LHP1-1/2 failed to do so. The integrity of the complex is essential in stress response, for the abrogation of DNA binding activity of GmPHD6 or the decrease of LHP1 content leads to stress sensitivity in soybean. GmPHD6 influences expression of dozens of stress-related genes to confer stress tolerance. Among these genes, we identified three direct targets of GmPHD6, ASR (ABA-stress-ripening induced), CYP71A22 (cytochrome P450) and CYP82C4. Our study reveals significant findings in stress response. GmPHD6 and LHP1 are recruited to H3K4me0/1/2 marks, where several stress-related genes may locate in, to form a transcriptional activation complex. GmPHD6 locates target sites through recognizing the G-rich elements in their promoters; LHP1 enhances expression levels of these targets. Genetically engineering of GmPHD6/LHP1 complex should improve stress tolerance in crop plants. Overall design: Three samples were chosen, GmPHD6 over-expression, GmPHD6 RNAi and the control sample (K599).Downstream genes are defined as the common genes that are up-regulated in GmPHD6-OE sample and down-regulated in RNAi sample.",28874519,"Plant homeodomain (PHD) finger proteins are involved in various developmental processes and stress responses. They recognize and bind to epigenetically modified histone H3 tail and function as histone code readers. Here we report that GmPHD6 reads low methylated histone H3K4me0/1/2 but not H3K4me3 with its N-terminal domain instead of the PHD finger. GmPHD6 does not possess transcriptional regulatory ability but has DNA-binding ability. Through the PHD finger, GmPHD6 interacts with its coactivator, LHP1-1/2, to form a transcriptional activation complex. Using a transgenic hairy root system, we demonstrate that overexpression of <i>GmPHD6</i> improves stress tolerance in soybean (<i>Glycine</i><i>max</i>) plants. Knocking down the <i>LHP1</i> expression disrupts this role of <i>GmPHD6</i>, indicating that GmPHD6 requires LHP1 functions during stress response. GmPHD6 influences expression of dozens of stress-related genes. Among these, we identified three targets of GmPHD6, including ABA-stress-ripening-induced <i>CYP75B1</i> and <i>CYP82C4</i> Overexpression of each gene confers stress tolerance in soybean plants. GmPHD6 is recruited to H3K4me0/1/2 marks and recognizes the G-rich elements in target gene promoters, whereas LHP1 activates expression of these targets. Our study reveals a mechanism involving two partners in a complex. Manipulation of the genes in this pathway should improve stress tolerance in soybean or other legumes/crops."
PRJNA185754,Glycine max,The Transition from Primary siRNAs to Amplified Secondary siRNAs that Regulate Chalcone Synthase During Development of Glycine max Seed Coat,"The I locus is a 27-kb inverted repeat cluster of chalcone synthase genes CHS1-3-4 that mediates siRNA down-regulation of CHS7 and CHS8 target mRNAs during seed development leading to yellow seed coats lacking anthocyanin pigments. Here, we report small RNA sequencing of ten stages of seed development from a few days post fertilization through maturity, revealing the amplification from primary to secondary short interfering RNAs (siRNAs) occurring during development. The young seed populations had a higher proportion of siRNAs representing the CHS1-3-4 gene family members, consistent with this region as the origin of the primary siRNAs. More intriguingly, the very young seed had a higher proportion of 22-nt CHS siRNAs than did the mid-maturation seed. We infer that the primary CHS siRNAs increase during development to levels sufficient to trigger amplification of secondary CHS siRNAs from the CHS7/8 target mRNAs, enabling the total levels of 21-nt CHS siRNAs to rise dramatically. Further, we demonstrate that the soybean system exhibits tissue-specific CHS siRNA production because primary CHS siRNA levels are not sufficient to trigger secondary amplification in tissues other than the seed coat. Overall design: High-throughput sequencing using Genome Analyzer II and Illumina HiSeq 2000 was performed with two biological replicates (Some stages don't have replicate).",24204712,"The I locus is a 27-kb inverted repeat cluster of chalcone synthase genes CHS1-3-4 that mediates siRNA down-regulation of CHS7 and CHS8 target mRNAs during seed development leading to yellow seed coats lacking anthocyanin pigments. Here, we report small RNA sequencing of ten stages of seed development from a few days post fertilization through maturity, revealing the amplification from primary to secondary short interfering RNAs (siRNAs) occurring during development. The young seed populations had a higher proportion of siRNAs representing the CHS1-3-4 gene family members, consistent with this region as the origin of the primary siRNAs. More intriguingly, the very young seed had a higher proportion of 22-nt CHS siRNAs than did the mid-maturation seed. We infer that the primary CHS siRNAs increase during development to levels sufficient to trigger amplification of secondary CHS siRNAs from the CHS7/8 target mRNAs, enabling the total levels of 21-nt CHS siRNAs to rise dramatically. Further, we demonstrate that the soybean system exhibits tissue-specific CHS siRNA production because primary CHS siRNA levels are not sufficient to trigger secondary amplification in tissues other than the seed coat."
PRJNA790743,Huazhong Agricultural University,Hypocotyl and root RNA-seq data in soybean,gene expression analysis,,
PRJNA875247,FAFU,Transcriptomic assay of soybean nodules in respone to Fe deficiency and high N,"This study aims to investigate whether nodule Fe homeostasis is regulated by N availability.We first carried out comparative RNA-seq analysis of soybean nodules with Fe / N treatment, and screened genes responding to both Fe deficiency and high-N",,
PRJNA525277,Glycine max strain:Williams 82,Glycine max strain:Williams 82 Transcriptome or Gene expression,Transcriptome profiling is performed to reveal how Brassinosteroids (BRs) play a crucial role for plant vegetative growth and reproductive development.,,
PRJNA380530,Glycine max,Glycine max Transcriptome or Gene expression,Comparative Transcriptome Analysis of Soybean Response to Bean Pyralid Larvae,,
PRJNA781415,Institute of Agrobiological Sciences National Agriculture and Food Research Organization,RNA-seq of soybean roots and stems infected with C. ilicicola,Root-specific infection of Calonectria ilicicola and the resistance mechanisms in soybean stems,,
PRJNA254333,Glycine max,RNA-seq analysis reveals genetic response and tolerance mechanisms to ozone exposure in soybean,"Oxidative stress caused by ground level ozone is a major contributor to yield loss in a number of important crop plants. Soybean (Glycine max) is especially ozone sensitive, and research into its response to oxidative stress is limited. To better understand the genetic response in soybean to oxidative stress, an RNA-seq analysis of two soybean cultivars was performed comparing an ozone intolerant cultivar and an ozone resistant cultivar after being exposed to ozone. A cursory analysis of the transcriptome data revealed differences between cultivars in the expression levels of genes previously implicated in oxidative stress responses, indicating unique cultivar-specific responses. An examination of the timing of gene responses over the course of ozone exposure showed expression of cuticle wax genes in the intolerant line over all sampled time points, whereas the tolerant line only expressed this pathway in the first time point. The ozone tolerant cultivar has a thicker leaf structure and we believe this lends a passive benefit to the plant which the intolerant cultivar is attempting to supplement via cuticle wax synthesis. These results suggest that differences in genetic responses work in concert with physiological differences to explain differences in ozone tolerance between soybean cultivars. Overall design: 16 total samples. 8 control, 8 at high ozone, 4 time points (30 minute increments starting 5 hours after introduction of ozone) . Replicates were pooled at extraction.",26040850,
PRJNA435899,Glycine max,Glycine max Transcriptome or Gene expression,Soybean Suining 37 hydroponics for iron deficiency treatment 12 days transcriptome data obtained,,
PRJNA901219,Glycine max,Glycine max Raw RNA sequence reads,Glycine max Raw RNA sequence reads,,
PRJNA302826,Glycine max cultivar:Shi-shi,Glycine max cultivar:Shi-shi Raw sequence reads,To understand the function of soybean endosperm,,
PRJNA548564,USDA ARS,Soybean response to brown stem rot fungus infection,"Brown stem rot (BSR), caused by the fungus Phialophora gregata, reduces yield by 38%. Three dominant BSR resistance loci have been identified: Rbs1, Rbs2, and Rbs3. All three genes have been mapped to large, overlapping regions on soybean chromosome 16 though the gene networks regulating resistance remain unknown. Further, identifying resistant germplasm by genotyping or phenotyping remains difficult due to complexities of soybean/P. gregata interactions. To aid in identifying and characterizing soybean resistance genes, novel approaches bridging the gap between breeding and genomics are needed. To identify genes and gene networks important in the resistant response, I conducted RNA-Seq of leaf, stem, and root tissues collected 12, 24, and 36 hours after P. gregata or mock-infection of a Rbs3 resistant soybean genotype. I identified genes differentially expressed in response to infection (treatment) at each time point.",,
PRJNA1054397,Zhejiang University,The acyl acyl carrier protein thioesterases GmFATA1 and GmFATA2 are essential for fatty acid accumulation and growth in soybean,"Acyl-acyl carrier protein (ACP) thioesterases (FAT) hydrolyze acyl-ACP complexes to release FA in plastids, which ultimately affects FA biosynthesis and profiles. Soybean GmFATA1 and GmFATA2 are homoeologous genes encoding oleoyl-ACP thioesterases whose role in seed oil accumulation and plant growth has not been defined. Using CRISPR/Cas9 gene editing mutation of Gmfata1 or 2 led to reduced leaf FA content and growth defect at the early seedling stage. In contrast, no homozygous double mutants were obtained. Combined this indicates that GmFATA1 and GmFATA2 display overlapping, but not complete functional redundancy. Combined transcriptomic and lipidomic analysis revealed a large number of genes involving in FA synthesis and FA chain elongation are expressed at reduced level in the Gmfata1 mutant, accompanied by a lower triacylglycerol abundance at the early seedling stage. Further analysis showed that the Gmfata1 or 2 mutants had increased composition of the beneficial FA, oleic acid. The growth defect of Gmfata1 could be at least partially attributed to reduced Acetyl-CoA carboxylase activity, reduced abundance of five unsaturated monogalactosyldiacylglycerol lipids, and altered chloroplast morphology. On the other hand, overexpression of GmFATA in soybean led to significant increases of leaf FA content by 5.7%, vegetative growth and seed yield by 26.9%, and seed FA content by 23.2%. Thus, overexpression of GmFATA is an effective strategy to enhance soybean oil content and yield.",,
PRJNA271506,Glycine max,Glycine max Transcriptome or Gene expression,soybean Transcriptome or Gene expression,,
PRJNA689321,Guangzhou University,Co-transcriptional and post-transcriptional features of transcriptome in soybean shoot apex and leaf,"Transcription is the first step of central dogma, in which the genetic information stored in DNA is copied into RNA. Other than mature RNA sequencing (RNA-seq), high throughput nascent RNA assays have been established and applied to provide details of transcription. We present here the first profiling of nascent RNA from trifoliate leaf and shoot apex of soybean. In combination of nascent RNA (chromatin bond RNA, CB RNA) and RNA-seq, we found that introns are largely spliced co-transcriptionally. Although alternative splicing (AS) is mainly determined at nascent RNA biogenesis, differential AS between tissues at mature RNA does not correlate well with co-transcriptional differential AS. Overall, RNA abundance is moderately correlated between nascent RNA and mature RNA in one tissue, but their fold changes between tissues is highly correlated at nascent RNA and mature RNA level. Thousands of novel transcripts (mainly noncoding RNA) were detected by CB RNA-seq, including two natural antisense RNA overlapped with two important genes controlling soybean reproductive development, FT2a and Dt1a. Taken together, we demonstrated the adoption of CB RNA-seq in soybean, which may shed light on gene expression regulation on important agronomic traits in leguminous crops.",,
PRJEB29567,RNA-seq of soybean hairy roots in which GmMYB176 transcription factor was silenced or overexpressed,RNA-seq of soybean hairy roots in which GmMYB176 transcription factor was silenced or overexpressed,"GmMYB176, an R1 MYB transcription factor regulates isoflavonoid biosynthesis in soybean. In the current experiment, GmMYB176 was silenced (GmMYB176-Si) or overexpressed (GmMYB176-OE) in soybean hairy roots and their effect on transcriptome was studied. RNA-Seq analyses of GmMYB176-Si and GmMYB176-OE along with control non-transformed soybean hairy roots revealed that alteration of gene expression of GmMYB176 affects gene regulation of hundreds of genes in soybean.",,
PRJNA916852,Heilongjiang Bayi Agriculture Univercity,Soybean seedlings exposed to melatonin under cold stress,"Under normal conditions, cold stress treatment, soybean seedlings with melatonin under cold stress.",,
PRJNA1102715,Glycine max,Glycine max Transcriptome or Gene expression,"Transcriptome analysis was employed to identify differentially expressed genes between KBL and SUZU, thereby narrowing down the scope of candidate gene screening.",,
PRJNA954182,Northeast Forestry University,soybean_seed_DMEmutant_data,raw data of gmdmea and WT,,
PRJNA951453,southwest university,Transcriptomic shade tolerance in soybean,Transcriptomic sequencing in shading and CK in soybean,,
PRJNA767196,Zhejiang A&amp;F University,"The RNA-seq datasets of monocot and eudicot plants under cold stress (4 degrees centigrade) at 0, 2, 24, and 168 hours (h).","We performed RNA-seq experiments with the leaf tissues from five monocots (Setaria italica, Zea mays, Hordeum vulgare, Oryza sativa, and Phyllostachys edulis) and six eudicots (Betula pendula, Carya illinoinensis, Glycine max, Cucumis sativus, Populus trichocarpa, and Arabidopsis thaliana) subjected to cold treatment (4 degrees centigrade) for 0, 2, 24, and 168 hours (h). Before cold stress treatment, all the plant seedlings were cultured in an artificial climate chamber with 25 degrees centigrade at a photoperiod of 16/8 h light/dark cycle. For A. thaliana, three-week old seedlings were used for cold stress treatments. For other species, young seedlings growing up to ~30 cm in height were utilized. Total RNA of the leaves collected from each species was isolated, purified, and assessed by NanoDrop ND-1000 and Bioanalyzer 2100. Poly(A)-RNA was enriched for cDNA library construction and sequencing by Illumina NovaSeq 6000 (2 x 150 bp paired-end reads).",36070250,"The C-repeat binding factors/dehydration-responsive element binding protein 1s (CBFs/DREB1s) have been identified as major regulators of cold acclimation in many angiosperm plants. However, their origin and evolutionary process associated to cold responsiveness are still lacking. By integrating multi-omics data of genomes, transcriptomes, and CBFs/DREB1s genome-wide binding profiles, we unveil the origin and evolution of CBFs/DREB1s and their regulatory network. Gene collinearity and phylogeny analyses show that CBF/DREB1 is an innovation evolved from tandem duplication-derived DREB III gene. A subsequent event of &#x3b5;-whole genome duplication led to two CBF/DREB1 archetypes (Clades I and II) in ancient angiosperms. In contrast to cold-insensitivity of Clade I and their parent DREB III genes, Clade II evolved a further innovation in cold-sensitive response and was stepwise expanded in eudicots and monocots by independent duplications. In geological time, the duplication events were mainly enriched around the Cretaceous-Paleogene (K-Pg) boundary and/or in the Late Cenozoic Ice Age, when the global average temperature significantly decreased. Consequently, the duplicated CBF/DREB1 genes contributed to the rewiring of CBFs/DREB1s-regulatory network for cold tolerance. Altogether, our results highlight an origin and convergent evolution of CBFs/DREB1s and their regulatory network probably for angiosperms adaptation to global cooling."
PRJNA683993,Glycine max cultivar:Dongnong 50,Glycine max cultivar:Dongnong 50 Transcriptome or Gene expression,RNA-Seq,,
PRJNA831331,Glycine max,Glycine max Transcriptome or Gene expression,"To better understand the molecular mechanism of susceptible cultivars with necrosis responding, the 252 accessions was employed for SMV pathogenic tests. RNA was extracted from leaves with typical asymptomatic, mosaic, and necrotic symptoms, respectively. Then the transcriptome variations were determined among the three RNA pools, i.e., asymptomatic pool (As_pool), mosaic pool (M_pool), and necrotic pool (N_pool), by using high-throughput sequencing.",,
PRJNA576585,Heilongjiang Bayi Agricultural University,Drought-tolerant transcriptome,"Drought-tolerant transcriptome of soybean leaves treated with water treatment, drought treatment and drought plus water treatment.",,
PRJNA306380,Glycine max,Glycine max Transcriptome or Gene expression,"Soybean is a major crop that provides an important source of protein and oil to humans and animals, but its production can be dramatically decreased by the occurrence of drought stress. Soybeans can survive drought stress if there is a robust and deep root system at the early vegetative growth stage. However, little is known about the genome-wide molecular mechanisms contributing to soybean root system architecture. This study was performed to gain knowledge on transcriptome changes and related molecular mechanisms contributing to soybean root development under water limited conditions.",,
PRJNA788354,Glycine max cultivar:Dongnong50,Glycine max cultivar:Dongnong50 Transcriptome or Gene expression,GmLecRlk overexpression soybean contributes to Salt Stress Tolerance [RNA-seq],,
PRJNA1120606,Japan International Research Center for Agricultural Sciences,Effects of sample storage conditions on gene expression patterns,"This study explores potential biases caused by RNA stabilizing solution on global gene expression patterns in plant leaves. Different sample storage conditions were examined in rice, sorghum and soybean to determine the best condition. The treatment included the following: control (LN2) samples that were frozen immediately by liquid nitrogen: the &quot;dipping&quot; samples that were submerged in an RNA protector solution after washing the leaf surface by 0.05% Triton X-100 and stored at 4 degree: and the &quot;infiltration&quot; samples that were infiltrated with an RNA protector solution by vacuum and pressurization and then stored at 4 or -20 degree.",,
