library,species,version,experiment,tissue,condition,group,group.replicate,SampleDescription,SRA_run,SRA_study,publication.status,PI,Contact,sp.ver
BWCOX,Glycine max,Wm82.a4.v1,circadian,shoot_tip,1130PM,shoot_tip.1130PM,shoot_tip.1130PM_2,Shoot tip collected at 11.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031226,SRP141050,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOY,Glycine max,Wm82.a4.v1,circadian,shoot_tip,1130PM,shoot_tip.1130PM,shoot_tip.1130PM_3,Shoot tip collected at 11.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031225,SRP141051,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZW,Glycine max,Wm82.a4.v1,circadian,shoot_tip,130AM,shoot_tip.130AM,shoot_tip.130AM_1,Shoot tip collected at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479040,SRP129960,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAO,Glycine max,Wm82.a4.v1,circadian,shoot_tip,130AM,shoot_tip.130AM,shoot_tip.130AM_2,Shoot tip collected at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479003,SRP129997,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBT,Glycine max,Wm82.a4.v1,circadian,shoot_tip,130AM,shoot_tip.130AM,shoot_tip.130AM_3,Shoot tip collected at 1.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478974,SRP130025,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWW,Glycine max,Wm82.a4.v1,circadian,shoot_tip,130PM,shoot_tip.130PM,shoot_tip.130PM_1,Shoot tip collected at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478983,SRP130017,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXZ,Glycine max,Wm82.a4.v1,circadian,shoot_tip,130PM,shoot_tip.130PM,shoot_tip.130PM_2,Shoot tip collected at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478991,SRP130010,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZC,Glycine max,Wm82.a4.v1,circadian,shoot_tip,130PM,shoot_tip.130PM,shoot_tip.130PM_3,Shoot tip collected at 1.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479038,SRP129962,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAN,Glycine max,Wm82.a4.v1,circadian,shoot_tip,330AM,shoot_tip.330AM,shoot_tip.330AM_1,Shoot tip collected at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478998,SRP130002,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBA,Glycine max,Wm82.a4.v1,circadian,shoot_tip,330AM,shoot_tip.330AM,shoot_tip.330AM_2,Shoot tip collected at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479050,SRP129950,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCOZ,Glycine max,Wm82.a4.v1,circadian,shoot_tip,330AM,shoot_tip.330AM,shoot_tip.330AM_3,Shoot tip collected at 3.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031222,SRP141054,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXA,Glycine max,Wm82.a4.v1,circadian,shoot_tip,330PM,shoot_tip.330PM,shoot_tip.330PM_1,Shoot tip collected at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478978,SRP130022,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYG,Glycine max,Wm82.a4.v1,circadian,shoot_tip,330PM,shoot_tip.330PM,shoot_tip.330PM_2,Shoot tip collected at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479023,SRP129976,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNCC,Glycine max,Wm82.a4.v1,circadian,shoot_tip,330PM,shoot_tip.330PM,shoot_tip.330PM_3,Shoot tip collected at 3.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479025,SRP129975,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCPA,Glycine max,Wm82.a4.v1,circadian,shoot_tip,530AM,shoot_tip.530AM,shoot_tip.530AM_1,Shoot tip collected at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031227,SRP141049,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCPB,Glycine max,Wm82.a4.v1,circadian,shoot_tip,530AM,shoot_tip.530AM,shoot_tip.530AM_2,Shoot tip collected at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031242,SRP141034,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCPC,Glycine max,Wm82.a4.v1,circadian,shoot_tip,530AM,shoot_tip.530AM,shoot_tip.530AM_3,Shoot tip collected at 5.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031241,SRP141035,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYY,Glycine max,Wm82.a4.v1,circadian,shoot_tip,530PM,shoot_tip.530PM,shoot_tip.530PM_1,Shoot tip collected at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479033,SRP129967,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAB,Glycine max,Wm82.a4.v1,circadian,shoot_tip,530PM,shoot_tip.530PM,shoot_tip.530PM_2,Shoot tip collected at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479005,SRP129995,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBH,Glycine max,Wm82.a4.v1,circadian,shoot_tip,530PM,shoot_tip.530PM,shoot_tip.530PM_3,Shoot tip collected at 5.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479047,SRP129953,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHWY,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730AM,shoot_tip.730AM,shoot_tip.730AM_1,Shoot tip collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478985,SRP130015,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHYB,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730AM,shoot_tip.730AM,shoot_tip.730AM_2,Shoot tip collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479018,SRP129982,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNCA,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730AM,shoot_tip.730AM,shoot_tip.730AM_3,Shoot tip collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478999,SRP130001,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCPG,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730AM,shoot_tip.730AM,shoot_tip.730AM_4,Shoot tip collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031215,SRP141061,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCPH,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730AM,shoot_tip.730AM,shoot_tip.730AM_5,Shoot tip collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031247,SRP141029,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BWCPN,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730AM,shoot_tip.730AM,shoot_tip.730AM_6,Shoot tip collected at 7.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR7031245,SRP141031,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZH,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730PM,shoot_tip.730PM,shoot_tip.730PM_1,Shoot tip collected at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479045,SRP129955,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZZ,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730PM,shoot_tip.730PM,shoot_tip.730PM_2,Shoot tip collected at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478971,SRP130028,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBC,Glycine max,Wm82.a4.v1,circadian,shoot_tip,730PM,shoot_tip.730PM,shoot_tip.730PM_3,Shoot tip collected at 7.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479053,SRP129947,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXC,Glycine max,Wm82.a4.v1,circadian,shoot_tip,930AM,shoot_tip.930AM,shoot_tip.930AM_1,Shoot tip collected at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478977,SRP130023,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHXX,Glycine max,Wm82.a4.v1,circadian,shoot_tip,930AM,shoot_tip.930AM,shoot_tip.930AM_2,Shoot tip collected at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479015,SRP129985,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNCH,Glycine max,Wm82.a4.v1,circadian,shoot_tip,930AM,shoot_tip.930AM,shoot_tip.930AM_3,Shoot tip collected at 9.30 AM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6478997,SRP130003,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNHZA,Glycine max,Wm82.a4.v1,circadian,shoot_tip,930PM,shoot_tip.930PM,shoot_tip.930PM_1,Shoot tip collected at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479029,SRP129971,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNAG,Glycine max,Wm82.a4.v1,circadian,shoot_tip,930PM,shoot_tip.930PM,shoot_tip.930PM_2,Shoot tip collected at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479001,SRP129999,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
BNNBO,Glycine max,Wm82.a4.v1,circadian,shoot_tip,930PM,shoot_tip.930PM,shoot_tip.930PM_3,Shoot tip collected at 9.30 PM from plants (4 week old) grown on vermiculite:perlite:sand (2:1:1) medium supplemented with B&D medium and 0.5mM ammonium nitrate,SRR6479051,SRP129949,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUHZ,Glycine max,Wm82.a4.v1,standard.tissue,shoot_tip,standard,shoot_tip.standard,shoot_tip.standard_1,Shoot tips from plants (4 week old) grown on standard medium,SRR5487707,SRP105616,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACCCW,Glycine max,Wm82.a4.v1,standard.tissue,shoot_tip,standard,shoot_tip.standard,shoot_tip.standard_2,Shoot tips from plants (4 week old) grown on standard medium,SRR5487701,SRP105610,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUNX,Glycine max,Wm82.a4.v1,standard.tissue,shoot_tip,standard,shoot_tip.standard,shoot_tip.standard_3,Shoot tips from plants (4 week old) grown on standard medium,SRR5487730,SRP105639,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACCGB,Glycine max,Wm82.a4.v1,standard.tissue,stem,standard,stem.standard,stem.standard_1,Stem from plants (4 week old) grown on standard medium,SRR5487692,SRP105601,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUHT,Glycine max,Wm82.a4.v1,standard.tissue,stem,standard,stem.standard,stem.standard_2,Stem from plants (4 week old) grown on standard medium,SRR5487712,SRP105621,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
ACUNG,Glycine max,Wm82.a4.v1,standard.tissue,stem,standard,stem.standard,stem.standard_3,Stem from plants (4 week old) grown on standard medium,SRR5487728,SRP105637,published,Gary Stacey,staceyg AT missouri DOT edu,Gmax.Wm82.a4.v1
