biosample,control,ctrl,stress,drought,bacteria,inoculated,flood,deficit,infest,pathogen,acid,fung,sporus,iron,aluminum,cadmium,cold,temperature,nitrogen,heat
SAMN21216012,{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 438471 infected with BPMV to silence Glyma.05G001700 treated to 16 days of iron deficiency stress', 'treatment': 'Soybean cultivar PI 438471 infected with BPMV to silence Glyma.05G001700 treated to 16 days of iron deficiency stress'}",{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Soybean cultivar PI 438471 infected with BPMV to silence Glyma.05G001700 treated to 16 days of iron deficiency stress', 'treatment': 'Soybean cultivar PI 438471 infected with BPMV to silence Glyma.05G001700 treated to 16 days of iron deficiency stress'}",{},{},{},{},{},{}
SAMN10588606,{},{},"{'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}"
SAMN10588603,{},{},"{'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}"
SAMN38355133,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'The plants were not inoculated with Rhizobium', 'treatment': 'The plants were not inoculated with Rhizobium'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN33988718,"{'treatment_sam_ss_dpl55': 'Six months in uncontrolled enviroment', 'treatment': 'Six months in uncontrolled enviroment'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36630199,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Salinity+water deficit+low phosphate', 'title': 'Combined salinity+water deficit+low phosphate flowers replicate 3', 'treatment': 'Salinity+water deficit+low phosphate'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513354,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359851,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Root tissue, PI 080459 (G14), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN29220780,"{'sample_name': 'F3_control_T5_85', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ""['29220780', '851273', 'F3_control_T5_85', 'PRJNA851273', 'SAMN29220780', 'SRP382849', 'SRR19761368', 'SRS13498080', 'SRX15806057', 'T5_85', 'T5_85_1.fq.gz', 'bp0']"", 'title': 'Fiskeby 3 control', 'treatment': 'control', 'Sample name': 'F3_control_T5_85'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN02225594,{},{},{},{},{},"{'inoculation_sam': 'P. sojae inoculated', 'inoculation': 'P. sojae inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN04932643,"{'cultivar_sam': 'Soybean Wild-type control (M92-220)', 'cultivar': 'Soybean Wild-type control (M92-220)'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN18877656,{},{},"{'treatment_sam_ss_dpl55': 'stress', 'treatment': 'stress'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359853,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Root tissue, PI 080459 (G14), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN12727370,{},{},{},{},{},{'source_name_sam': 'SMV-G7 inoculated leaf'},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513392,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN31760280,{},{},"{'treatment_sam_ss_dpl55': 'Water deficit and heat stress', 'title': 'Combined water deficit and heat stress flower stigma replicate 1', 'treatment': 'Water deficit and heat stress'}",{},{},{},{},"{'treatment_sam_ss_dpl55': 'Water deficit and heat stress', 'title': 'Combined water deficit and heat stress flower stigma replicate 1', 'treatment': 'Water deficit and heat stress'}",{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Water deficit and heat stress', 'title': 'Combined water deficit and heat stress flower stigma replicate 1', 'treatment': 'Water deficit and heat stress'}"
SAMN04125391,{},{},"{'treatment_sam_ss_dpl55': 'Elevated [CO2] and 50 min of drought stress-Biological replicate 1', 'treatment': 'Elevated [CO2] and 50 min of drought stress-Biological replicate 1'}","{'treatment_sam_ss_dpl55': 'Elevated [CO2] and 50 min of drought stress-Biological replicate 1', 'treatment': 'Elevated [CO2] and 50 min of drought stress-Biological replicate 1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05580199,"{'source_name_sam': 'Line Williams 82_Depodding_Control2', 'sample_group_sam_s_dpl128': 'Control', 'title': 'Depodding_Control2.2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN05908894,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN16086461,{},{},{},{},{},{},{},{},{},{},{},{},{},{'center_name': 'COLLEGE OF RESOURCE AND ENVIRONMENTAL SCIENCE'},{},{},{},{},{},{}
SAMN22841249,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Clark scion on Clark rootstock (Clk/Clk), 30 minutes after transfer, rep 1 root tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN37004729,"{'treatment_sam_ss_dpl55': 'control', 'title': 'RNAseq, NE2701, 2 hpi, control3', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841308,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Clark scion on IsoClark rootstock (Clk/Iso), 120 minutes after transfer, rep 1 root tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN31541870,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359717,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 092465 (G9), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN36630220,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Salinity+water deficit', 'title': 'Combined salinity+water deficit flowers replicate 3', 'treatment': 'Salinity+water deficit'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841280,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 30 minutes after transfer, rep 3 root tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN11849868,"{'sample_name': 'Clark T2_Control_Roots', 'primary_search': ""['11849868', '544698', 'C_T2_R_b', 'Clark T2_Control_Roots', 'ControlMem_R_Ju.sort.bam', 'PRJNA544698', 'SAMN11849868', 'SRP199444', 'SRR9119334', 'SRS4815013', 'SRX5893342', 'bp0']"", 'title': 'Clark Roots T2 Control', 'Sample name': 'Clark T2_Control_Roots'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760676,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R48-3-1 at low temperature treatment for 24 hours'},{},{}
SAMN29341248,{},{},"{'treatment_sam_ss_dpl55': 'drought stress for 7 d', 'treatment': 'drought stress for 7 d'}","{'treatment_sam_ss_dpl55': 'drought stress for 7 d', 'treatment': 'drought stress for 7 d'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37004741,"{'treatment_sam_ss_dpl55': 'control', 'title': 'RNAseq, Colfax, 4 hpi, control3', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN06314345,{},{},{},{'title': 'Gene expression profiling of Glycine max William 82 - GmDrought-a'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN13520105,{},{},{},{},{},{},{},{},"{'stage_sam': '48 hours after infestation', 'Stage': '48 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN36630282,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Cadmium (300 uM CdCl2)', 'title': 'Cadmium leaves replicate 1', 'treatment': 'Cadmium (300 uM CdCl2)'}",{},{},{},{}
SAMN06314800,{},{'title': 'Gene expression profiling of Glycine max William 82 - GmCtrl-1b'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN33988717,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Six months in cold chamber', 'treatment': 'Six months in cold chamber'}",{},{},{}
SAMN29341250,{},{},"{'treatment_sam_ss_dpl55': 'drought stress for 7 d', 'treatment': 'drought stress for 7 d'}","{'treatment_sam_ss_dpl55': 'drought stress for 7 d', 'treatment': 'drought stress for 7 d'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN13520096,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'infestation', 'stage_sam': '96 hours after infestation', 'title': 'P746 96HAI infestation rep3', 'treatment': 'infestation', 'Stage': '96 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN31760301,{'title': 'Control soybean flower ovary replicate 1'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513360,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359704,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 196150 (G7), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN37004740,{},{},{},{},{},"{'title': 'RNAseq, Colfax, 4 hpi, inoculated2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN02225593,{},{},{},{},{},"{'inoculation_sam': 'P. sojae inoculated', 'inoculation': 'P. sojae inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760695,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R48-9-2 at non-low temperature treatment for 48 hours'},{},{}
SAMN23297340,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'RNA-seq for soybean (Williams82) tissues inoculated with Ps32 at 2 h after soaking hypocotyls in culture solution of FeFpp1 (MuP2),biological replicate 1', 'treatment': 'RNA-seq for soybean (Williams82) tissues inoculated with Ps32 at 2 h after soaking hypocotyls in culture solution of FeFpp1 (MuP2),biological replicate 1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09513407,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN29914708,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841271,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'IsoClark scion on Clark rootstock (Iso/Clk), 30 minutes after transfer, rep 1 leaf tissue, sufficient iron', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN38355138,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'The plants were not inoculated with Rhizobium and subjected to POA treatment', 'treatment': 'The plants were not inoculated with Rhizobium and subjected to POA treatment'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359873,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 548533 (G17), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMD00235530,{'sample_name_sam': '[Control_DAS7]'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36630255,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Salinity+water deficit+low phosphate', 'title': 'Combined salinity+water deficit+low phosphate leaves replicate 1', 'treatment': 'Salinity+water deficit+low phosphate'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359776,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Root tissue, PI 437377 (G1), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN36780226,{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'rem1a inoculated with Rhizobium HH103 at 24 hpi, Repeat 1', 'isolate': 'rem1a inoculated with Rhizobium HH103 at 24 hpi, Repeat 1'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359701,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 196150 (G7), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN10588605,{},{},"{'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'produced in non-heat stressed field in Columbia, MO', 'treatment': 'produced in non-heat stressed field in Columbia, MO'}"
SAMN36760690,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R48-7-3 at non-low temperature treatment for 24 hours'},{},{}
SAMN13104244,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN29914700,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN14474681,{},{},{},"{'phenotype_sam': 'Drought_sensible', 'phenotype': 'Drought_sensible'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359742,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 084973 (G13), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN36630200,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Salinity+water deficit+low phosphate', 'title': 'Combined salinity+water deficit+low phosphate flowers replicate 2', 'treatment': 'Salinity+water deficit+low phosphate'}",{},{},{},{},{},{},{},{},{},{},{},{}
SAMN29220786,"{'sample_name': 'M_control_T5_108', 'treatment_sam_ss_dpl55': 'control', 'primary_search': ""['29220786', '851273', 'M_control_T5_108', 'PRJNA851273', 'SAMN29220786', 'SRP382849', 'SRR19761362', 'SRS13498086', 'SRX15806063', 'T5_108', 'T5_108_1.fq.gz', 'bp0']"", 'title': 'Mandarin control', 'treatment': 'control', 'Sample name': 'M_control_T5_108'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMD00183604,{'sample_name_sam': '[Glycine_max_control_2]'},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN18877649,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN37004716,{},{},{},{},{},"{'title': 'RNAseq, NE2701, 16 hpi, inoculated2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN21359713,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 092465 (G9), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN26492863,{},{},{},"{'treatment_sam_ss_dpl55': 'drought', 'treatment': 'drought'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760717,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R89-7-3 at non-low temperature treatment for 24 hours'},{},{}
SAMN09240714,"{'treatment_sam_ss_dpl55': 'Control', 'treatment': 'Control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN33199887,{},{},"{'treatment_sam_ss_dpl55': 'saline-alkali stress 28d', 'isolate_sam_ss_dpl100': 'Recipient soybean under saline-alkali stress for 28d biological replicate 1', 'title': 'Recipient soybean under saline-alkali stress for 28d biological replicate 1', 'isolate': 'Recipient soybean under saline-alkali stress for 28d biological replicate 1', 'treatment': 'saline-alkali stress 28d'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36760705,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'dev_stage_sam': 'R89-3-3 at low temperature treatment for 24 hours'},{},{}
SAMN05908887,"{'treatment_sam_ss_dpl55': 'control', 'treatment': 'control'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN10721181,"{'sample_name': 'PI518671_treatment_control_5d_R2', 'treatment_sam_ss_dpl55': 'Control', 'primary_search': ""['10721181', '46', '5-8b_S23_L005_R1_001.fastq.gz', '514200', 'PI518671_treatment_control_5d_R2', 'PRJNA514200', 'SAMN10721181', 'SRP178193', 'SRR8427395', 'SRS4238950', 'SRX5235232', 'bp0']"", 'treatment': 'Control', 'Sample name': 'PI518671_treatment_control_5d_R2'}",{},{},{},{},{},{},{},"{'age_sam': '5 day post aphid infestation', 'age': '5 day post aphid infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN09513362,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated', 'treatment': 'Inoculated'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36630202,{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Salinity+acidity+low phosphate', 'title': 'Combined salinity+acidity+low phosphate flowers replicate 3', 'treatment': 'Salinity+acidity+low phosphate'}",{},{},{},{},{},{},{},{},{}
SAMN23894490,{},{},"{'isolate_sam_ss_dpl100': 'cold stress 168h', 'isolate': 'cold stress 168h'}",{},{},{},{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'cold stress 168h', 'isolate': 'cold stress 168h'}",{},{},{}
SAMN21359744,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 080459 (G14), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN21359707,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 153280 (G8), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN05327837,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': '12 hours after infestation', 'treatment': '12 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN05150263,"{'sample_name': 'Soybean-RFB control 24 h.p.i. 2', 'library_name': 'Soybean_control_2', 'primary_search': ""['322284', '5150263', 'PRJNA322284', 'SAMN05150263', 'SRP075504', 'SRR3566487', 'SRS1461249', 'SRX1790764', 'Soybean-RFB control 24 h.p.i. 2', 'Soybean_control_2', 'TRC_GAACAGGC_L002_R1_001.fastq']"", 'title': 'Soybean-RFB control 24 h.p.i. 2', 'Sample name': 'Soybean-RFB control 24 h.p.i. 2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN31760292,{},{},"{'treatment_sam_ss_dpl55': 'Water deficit and heat stress', 'title': 'Combined water deficit and heat stress flower ovary replicate 1', 'treatment': 'Water deficit and heat stress'}",{},{},{},{},"{'treatment_sam_ss_dpl55': 'Water deficit and heat stress', 'title': 'Combined water deficit and heat stress flower ovary replicate 1', 'treatment': 'Water deficit and heat stress'}",{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Water deficit and heat stress', 'title': 'Combined water deficit and heat stress flower ovary replicate 1', 'treatment': 'Water deficit and heat stress'}"
SAMN14786294,{},{},{},{},{},"{'sample_name': 'C08-Uninoculated Root-2', 'library_name': 'C08-Uninoculated Root-2', 'primary_search': ""['14786294', '629646', 'C08-Uninoculated Root-2', 'FCD2BP6ACXX-BEAoftTABRAAPEI-72_L6_1.fq.gz', 'PRJNA629646', 'SAMN14786294', 'SRP259459', 'SRR11659660', 'SRS6578228', 'SRX8220591']"", 'title': 'RNAseq of soybean un-inoculated root replicate 2', 'Sample name': 'C08-Uninoculated Root-2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN25290792,{},{},{},{},{},{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'low oleic acid content', 'isolate': 'low oleic acid content'}",{},{},{},{},{},{},{},{},{}
SAMN21359682,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 578366 (G3), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN21359731,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Leaf tissue, PI 086145 (G12), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN21359758,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Leaf tissue, PI 054854 (G16), deficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN13520060,{},{},{},{},{},{},{},{},"{'stage_sam': '48 hours after infestation', 'Stage': '48 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN02191991,{},{},{},"{'treatment_sam_ss_dpl55': 'Drought', 'treatment': 'Drought'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN09721532,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{'title': 'ACold treatment 0 hour rep1'},{},{},{}
SAMN37004708,{},{},{},{},{},"{'title': 'RNAseq, Senaki, 4 hpi, inoculated2'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN15350940,{},{},"{'treatment_sam_ss_dpl55': 'drought stress', 'treatment': 'drought stress'}","{'treatment_sam_ss_dpl55': 'drought stress', 'treatment': 'drought stress'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN36780228,{},{},{},{},{},"{'isolate_sam_ss_dpl100': 'rem1a inoculated with Rhizobium HH103 at 24 hpi, Repeat 3', 'isolate': 'rem1a inoculated with Rhizobium HH103 at 24 hpi, Repeat 3'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN03755626,{},{},{'title': 'ZT16-24h_Stressl-R2'},{},{},{},{},{'source_name_sam': 'leaves_ZT16_24h_water_deficit'},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN13520108,{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'infestation', 'stage_sam': '24 hours after infestation', 'title': 'P746 24HAI infestation rep3', 'treatment': 'infestation', 'Stage': '24 hours after infestation'}",{},{},{},{},{},{},{},{},{},{},{}
SAMN21359785,{},{},"{'age_sam': '60 minutes after iron stress', 'age': '60 minutes after iron stress'}",{},{},{},{},{},{},{},{},{},{},"{'age_sam': '60 minutes after iron stress', 'treatment_sam_ss_dpl55': 'Sufficient iron', 'title': 'Root tissue, PI 578366 (G3), sufficient iron conditions', 'age': '60 minutes after iron stress', 'treatment': 'Sufficient iron'}",{},{},{},{},{},{}
SAMN27921934,{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Inoculated with sterile water', 'treatment': 'Inoculated with sterile water'}",{},{},{},{},{},{},{},{},{},{},{},{},{},{}
SAMN22841266,{},{},{},{},{},{},{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Deficient iron', 'title': 'Clark scion on Clark rootstock (Clk/Clk), 120 minutes after transfer, rep 3 leaf tissue, deficient iron', 'treatment': 'Deficient iron'}",{},{},{},{},{},{}
SAMN36630194,{},{},{},{},{},{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity', 'title': 'Combined acidity+water deficit+low phosphate+salinity flowers replicate 2', 'treatment': 'Acidity+water deficit+low phosphate+salinity'}",{},{},"{'treatment_sam_ss_dpl55': 'Acidity+water deficit+low phosphate+salinity', 'title': 'Combined acidity+water deficit+low phosphate+salinity flowers replicate 2', 'treatment': 'Acidity+water deficit+low phosphate+salinity'}",{},{},{},{},{},{},{},{},{}
